 #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
266,Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1988925,1217833,0.612,170922,0.14
267,Kanniyakumari,39,GEN,Tamil Nadu,Vijayakumar (Alias) VIJAY VASANTH,Indian National Congress,1557915,1029055,0.661,179907,0.175
268,Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1358368,1063855,0.783,108982,0.102
269,Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Ramesh Awasthi,Bharatiya Janta Party,1662859,887396,0.534,20968,0.024
270,Kanthi,31,GEN,West Bengal,Adhikari Soumendu,Bharatiya Janta Party,1794537,1530997,0.853,47764,0.031
271,Karakat,35,GEN,Bihar [2000 Onwards],Raja Ram Singh,Communist Party Of India (Marxist-Leninist) (Liberation),1881191,1031618,0.537,105858,0.103
272,Karauli-Dholpu,10,SC,Rajasthan,Bhajan Lal Jatav,Indian National Congress,1975352,988122,0.5,98945,0.1
273,Karimganj,7,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,1412148,1146882,0.812,18360,0.016
274,Karimnagar,3,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1797150,1312852,0.731,225209,0.172
275,Karnal,5,GEN,Haryana,Manohar Lal,Bharatiya Janta Party,2104229,1345892,0.64,232577,0.173
276,Karur,23,GEN,Tamil Nadu,Jothimani. S,Indian National Congress,1429790,1132045,0.791,166816,0.147
277,Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1452230,1112546,0.766,100649,0.09
278,Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Indian National Congress,1833009,1171546,0.639,49863,0.043
279,Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Pushpendra Saroj,Samajwadi Party,1909620,1009329,0.529,103944,0.103
280,Kaziranga,10,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,2050126,1629937,0.795,248947,0.153
281,Kendrapara,15,GEN,Orissa,Baijayant Panda,Bharatiya Janta Party,1792723,1277108,0.712,66536,0.052
282,Keonjhar,4,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1588179,1256615,0.791,97042,0.077
283,Khadoor Sahib,3,GEN,Punjab,Amritpal Singh,Independent,1667797,1047165,0.628,197120,0.188
284,Khagaria,25,GEN,Bihar [2000 Onwards],Rajesh Verma,Lok Janshakti Party(Ram Vilas),1840217,1061894,0.577,161131,0.152
285,Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Vishnu Datt Sharma (V.D.SHARMA),Bharatiya Janta Party,1997483,1140570,0.571,541229,0.475
286,Khammam,17,GEN,Telangana,Ramasahayam Raghuram Reddy,Indian National Congress,1631039,1251283,0.767,467847,0.374
287,Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Gyaneshwar Patil,Bharatiya Janta Party,2112203,1512542,0.716,269971,0.178
288,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Patel,Bharatiya Janta Party,2046030,1558778,0.762,135018,0.087
289,Kheda,17,GEN,Gujarat,Devusinh Chauhan,Bharatiya Janta Party,2007404,1175848,0.586,357758,0.304
290,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Utkarsh Verma Madhur,Samajwadi Party,1870170,1213359,0.649,34329,0.028
291,Khunti,11,ST,Jharkhand,Kali Charan Munda,Indian National Congress,1326138,936682,0.706,149675,0.16
292,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Jawed,Indian National Congress,1829994,1151099,0.629,59692,0.052
293,Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,2205318,1369964,0.621,377014,0.275
294,Kokrajhar,1,ST,Assam,Joyanta Basumatary,United Peoples Party Liberal,1484571,1241496,0.836,51583,0.042
295,Kolar,28,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),1726914,1355228,0.785,71388,0.053
296,Kolhapur,47,GEN,Maharashtra,Chhatrapati Shahu Shahaji,Indian National Congress,1936403,1393326,0.72,154964,0.111
297,Kolkata Dakshi,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1849520,1243477,0.672,187231,0.151
298,Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1505356,958433,0.637,92560,0.097
299,Kollam,18,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,1326648,915691,0.69,150302,0.164
300,Koppal,8,GEN,Karnataka,K. Rajashekar Basavaraj Hitnal,Indian National Congress,1866397,1328936,0.712,46357,0.035
301,Koraput,21,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,1480922,1148842,0.776,147744,0.129
302,Korba,4,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,1618864,1225313,0.757,43283,0.035
303,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,2088023,1500157,0.719,41974,0.028
304,Kottayam,14,GEN,Kerala,Adv K Francis George,Kerala Congress,1254823,836223,0.666,87266,0.104
305,Kozhikode,5,GEN,Kerala,M. K. Raghavan,Indian National Congress,1429631,1090050,0.763,146176,0.134
306,Krishnagiri,9,GEN,Tamil Nadu,Gopinath K,Indian National Congress,1623179,1166156,0.718,192486,0.165
307,Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1755631,1425712,0.812,56705,0.04
308,Kurnool,18,,Andhra Pradesh [2014 Onwards],Bastipati Nagaraju Panchalingala,Telugu Desam,1722857,1330780,0.772,111298,0.084
309,Kurukshetra,2,GEN,Haryana,Naveen Jindal,Bharatiya Janta Party,1794300,1205872,0.672,29021,0.024
310,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubay,Bharatiya Janta Party,1875222,1080483,0.576,81790,0.076
311,Ladakh,1,GEN,Ladakh,Mohmad Haneefa,Independent,184808,135524,0.733,27862,0.206
312,Lakhimpur,12,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,1577234,1211214,0.768,201257,0.166
313,Lakshadweep,1,,Lakshadweep,Muhammed Hamdullah Sayeed,Indian National Congress,57784,49200,0.851,2647,0.054
314,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,1838882,1003438,0.546,115023,0.115
315,Latur,41,SC,Maharashtra,Dr. Kalge Shivaji Bandappa,Indian National Congress,1977042,1239079,0.627,61881,0.05
316,Lohardaga,12,ST,Jharkhand,Sukhdeo Bhagat,Indian National Congress,1441302,967125,0.671,139138,0.144
317,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,2172171,1136892,0.523,135159,0.119
318,Ludhiana,7,GEN,Punjab,Amrinder Singh Raja Warring,Indian National Congress,1758614,1059157,0.602,20942,0.02
319,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Priya Saroj,Samajwadi Party,1940605,1060063,0.546,35850,0.034
320,Machilipatnam,11,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Janasena Party,1539460,1312004,0.852,223179,0.17
321,Madha,43,GEN,Maharashtra,Mohite-Patil Dhairyasheel Rajsinh,Nationalist Congress Party – Sharadchandra Pawar,1991454,1273418,0.639,120837,0.095
322,Madhepura,13,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),2071166,1209695,0.584,174534,0.144
323,Madhubani,6,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,1934980,1027728,0.531,151945,0.148
324,Madurai,32,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),1582271,986969,0.624,209409,0.212
325,Mahabubabad,16,ST,Telangana,Balram Naik Porika,Indian National Congress,1532366,1108786,0.724,349165,0.315
326,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj Chaudhary,Bharatiya Janta Party,2004050,1210451,0.604,35451,0.029
327,Maharajganj,19,GEN,Bihar [2000 Onwards],"Janardan Singh ""sigriwal""",Bharatiya Janta Party,1934937,1014109,0.524,102651,0.101
328,Mahasamund,9,GEN,Chhattisgarh,Roop Kumari Choudhary,Bharatiya Janta Party,1762477,1326080,0.752,145456,0.11
329,Mahbubnagar,11,GEN,Telangana,Aruna. D. K,Bharatiya Janta Party,1682470,1226078,0.729,4500,0.004
330,Mahesana,4,GEN,Gujarat,Haribhai Patel,Bharatiya Janta Party,1770617,1076827,0.608,328046,0.305
331,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,1790797,1054011,0.589,221639,0.21
332,Malappuram,6,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,1479921,1085182,0.733,300118,0.277
333,Maldaha Dakshi,8,GEN,West Bengal,Isha Khan Choudhury,Indian National Congress,1782159,1369789,0.769,128368,0.094
334,Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1862035,1417589,0.761,77708,0.055
